home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_lost,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_con,status
Wales,1,1,Yugoslavia,0,523.0,259.0,-32.0,-15.0,-12.0,-5.0,-42.0,2
Brazil,1,0,England,0,-68.0,-39.0,40.0,44.0,-1.0,-3.0,41.0,1
Cyprus,1,5,Denmark,0,-714.0,-192.0,-20.0,-9.0,-6.0,-5.0,-26.0,3
Poland,0,2,Republic of Ireland,0,544.0,144.0,21.0,14.0,10.0,-3.0,35.0,3
England,3,2,Italy,0,619.0,104.0,-14.0,-16.0,2.0,0.0,-13.0,1
Brazil,4,1,Italy,0,551.0,65.0,26.0,28.0,1.0,-3.0,28.0,1
Iran,2,0,Iraq,0,344.0,19.0,12.0,2.0,6.0,4.0,20.0,1
Mexico,0,3,Brazil,0,-43.0,73.0,-52.0,-57.0,9.0,-4.0,-7.0,3
Iran,8,0,Yemen DPR,0,497.0,88.0,15.0,2.0,9.0,4.0,24.0,1
Brazil,3,1,Paraguay,0,523.0,-36.0,82.0,66.0,8.0,8.0,67.0,1
Uruguay,0,3,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,3
Iran,2,0,China PR,0,313.0,-6.0,15.0,2.0,9.0,4.0,24.0,1
Finland,1,4,England,0,-740.0,-33.0,-69.0,-29.0,-19.0,-21.0,-64.0,3
Iran,1,0,Kuwait,0,348.0,23.0,12.0,2.0,7.0,3.0,18.0,1
Czechoslovakia,3,1,Netherlands,0,-590.0,-146.0,-20.0,-16.0,3.0,-7.0,-3.0,1
Yugoslavia,2,4,Germany,0,-712.0,-126.0,-72.0,-51.0,-9.0,-12.0,-79.0,3
Yugoslavia,2,3,Netherlands,0,-606.0,-145.0,-13.0,-11.0,2.0,-4.0,-2.0,3
Czechoslovakia,2,2,Germany,0,-696.0,-127.0,-79.0,-56.0,-8.0,-15.0,-80.0,2
Norway,0,0,Denmark,0,-533.0,-127.0,-12.0,-7.0,-3.0,-2.0,-18.0,2
Guatemala,1,0,Costa Rica,0,-482.0,-118.0,-18.0,-5.0,-8.0,-5.0,-28.0,1
Iran,2,2,Romania,0,308.0,14.0,-6.0,-6.0,1.0,-1.0,-8.0,2
Cameroon,2,1,DR Congo,0,448.0,85.0,20.0,4.0,9.0,7.0,29.0,1
Costa Rica,3,0,Panama,0,495.0,118.0,15.0,5.0,5.0,5.0,17.0,1
Malaysia,2,1,South Korea,0,-763.0,-115.0,-34.0,-6.0,-19.0,-9.0,-70.0,1
India,1,5,Japan,0,-604.0,-154.0,-21.0,-5.0,-11.0,-5.0,-29.0,3
India,0,8,South Korea,0,-811.0,-136.0,-34.0,-6.0,-19.0,-9.0,-70.0,3
Indonesia,0,6,Japan,0,-556.0,-114.0,-20.0,-5.0,-10.0,-5.0,-23.0,3
Australia,0,1,Hong Kong,0,443.0,83.0,16.0,2.0,10.0,4.0,31.0,3
Indonesia,0,2,South Korea,0,-763.0,-96.0,-33.0,-6.0,-18.0,-9.0,-64.0,3
Myanmar,2,2,Japan,0,-623.0,-172.0,-21.0,-5.0,-11.0,-5.0,-29.0,2
Myanmar,2,2,South Korea,0,-830.0,-154.0,-34.0,-6.0,-19.0,-9.0,-70.0,2
Japan,2,2,Thailand,0,541.0,109.0,21.0,5.0,11.0,5.0,29.0,2
Switzerland,2,2,Bulgaria,0,581.0,233.0,11.0,9.0,2.0,0.0,11.0,2
Australia,2,0,Hong Kong,0,443.0,83.0,16.0,2.0,10.0,4.0,31.0,1
Japan,0,0,South Korea,0,-207.0,18.0,-13.0,-1.0,-8.0,-4.0,-41.0,2
South Korea,2,1,Thailand,0,748.0,91.0,34.0,6.0,19.0,9.0,70.0,1
Malaysia,2,2,Japan,0,-556.0,-133.0,-21.0,-5.0,-11.0,-5.0,-29.0,2
Malaysia,2,0,Japan,0,-556.0,-133.0,-21.0,-5.0,-11.0,-5.0,-29.0,1
Denmark,3,0,Norway,0,533.0,127.0,12.0,7.0,3.0,2.0,18.0,1
Denmark,1,1,France,0,3.0,41.0,-46.0,-25.0,-13.0,-8.0,-51.0,2
Iceland,0,1,Belgium,0,-606.0,-151.0,-45.0,-20.0,-17.0,-8.0,-67.0,3
Saudi Arabia,0,0,Iraq,0,473.0,106.0,13.0,3.0,8.0,2.0,35.0,2
England,1,1,Republic of Ireland,0,706.0,70.0,56.0,27.0,16.0,13.0,54.0,2
Iceland,0,1,Netherlands,0,-620.0,-95.0,-47.0,-27.0,-9.0,-11.0,-43.0,3
Norway,1,0,Switzerland,0,-518.0,-192.0,-29.0,-10.0,-14.0,-5.0,-56.0,1
Ivory Coast,3,1,Ghana,0,-469.0,-105.0,-3.0,-1.0,0.0,-2.0,-2.0,1
South Korea,4,4,Malaysia,0,763.0,115.0,34.0,6.0,19.0,9.0,70.0,2
Saudi Arabia,0,2,Morocco,0,76.0,50.0,0.0,1.0,2.0,-3.0,17.0,3
South Korea,4,0,India,0,811.0,136.0,34.0,6.0,19.0,9.0,70.0,1
South Korea,7,0,Singapore,0,783.0,103.0,34.0,6.0,19.0,9.0,70.0,1
Austria,3,1,Switzerland,0,-545.0,-220.0,-8.0,0.0,-4.0,-4.0,-17.0,1
Denmark,0,1,Italy,0,453.0,194.0,-63.0,-36.0,-11.0,-16.0,-51.0,3
South Korea,2,0,New Zealand,0,747.0,94.0,28.0,6.0,16.0,6.0,56.0,1
Canada,1,1,United States,0,-282.0,-70.0,-30.0,-8.0,-16.0,-6.0,-57.0,2
Saudi Arabia,0,1,Tunisia,0,28.0,7.0,1.0,1.0,2.0,-2.0,14.0,3
United States,0,0,Mexico,0,-173.0,19.0,-24.0,-8.0,-8.0,-8.0,-36.0,2
Chile,0,0,Uruguay,0,-461.0,-68.0,-23.0,-13.0,-5.0,-5.0,-25.0,2
Wales,0,2,Germany,0,-189.0,133.0,-104.0,-66.0,-21.0,-17.0,-121.0,3
Bulgaria,2,2,France,0,-593.0,-127.0,-40.0,-31.0,-4.0,-5.0,-24.0,2
Switzerland,1,2,Sweden,0,424.0,193.0,-14.0,-7.0,-2.0,-5.0,-9.0,3
Canada,1,0,Mexico,0,-455.0,-51.0,-54.0,-16.0,-24.0,-14.0,-93.0,1
Ghana,2,1,Guinea,0,494.0,102.0,12.0,4.0,5.0,3.0,16.0,1
Spain,1,0,Yugoslavia,0,504.0,59.0,26.0,14.0,5.0,7.0,26.0,1
Peru,0,0,Uruguay,0,-571.0,-125.0,-38.0,-19.0,-10.0,-9.0,-41.0,2
Argentina,2,0,Chile,0,530.0,-16.0,48.0,32.0,8.0,8.0,44.0,1
England,2,1,Finland,0,740.0,33.0,69.0,29.0,19.0,21.0,64.0,1
Netherlands,2,2,Northern Ireland,0,456.0,22.0,37.0,24.0,6.0,7.0,25.0,2
Colombia,1,2,Uruguay,0,-590.0,-172.0,-34.0,-15.0,-10.0,-9.0,-44.0,3
Mexico,3,0,United States,0,173.0,-19.0,24.0,8.0,8.0,8.0,36.0,1
Portugal,0,2,Poland,0,-198.0,-86.0,-4.0,-2.0,-3.0,1.0,-10.0,3
Congo,2,2,Cameroon,0,-482.0,-98.0,-23.0,-4.0,-12.0,-7.0,-43.0,2
Togo,1,0,Senegal,0,-469.0,-104.0,-5.0,-3.0,1.0,-3.0,-4.0,1
Ecuador,2,2,Uruguay,0,-324.0,-36.0,-46.0,-20.0,-15.0,-11.0,-63.0,2
Indonesia,1,1,Australia,0,-417.0,-64.0,-15.0,-2.0,-9.0,-4.0,-25.0,2
United States,2,0,Canada,0,282.0,70.0,30.0,8.0,16.0,6.0,57.0,1
Singapore,0,1,Australia,0,-437.0,-71.0,-16.0,-2.0,-10.0,-4.0,-31.0,3
Hong Kong,0,2,Australia,0,-443.0,-83.0,-16.0,-2.0,-10.0,-4.0,-31.0,3
Denmark,5,0,Cyprus,0,714.0,192.0,20.0,9.0,6.0,5.0,26.0,1
Mexico,0,0,Canada,0,455.0,51.0,54.0,16.0,24.0,14.0,93.0,2
Peru,1,3,Argentina,0,-640.0,-41.0,-63.0,-38.0,-13.0,-12.0,-60.0,3
Cameroon,1,2,Congo,0,482.0,98.0,23.0,4.0,12.0,7.0,43.0,3
Guinea,2,1,Ghana,0,-494.0,-102.0,-12.0,-4.0,-5.0,-3.0,-16.0,1
Poland,5,0,Cyprus,0,718.0,176.0,34.0,16.0,13.0,5.0,45.0,1
Senegal,1,1,Togo,0,469.0,104.0,5.0,3.0,-1.0,3.0,4.0,2
Israel,1,1,Australia,0,-380.0,-60.0,-13.0,-2.0,-9.0,-2.0,-28.0,2
Tunisia,3,0,Libya,0,527.0,132.0,15.0,2.0,9.0,4.0,25.0,1
Argentina,1,0,Peru,0,640.0,41.0,63.0,38.0,13.0,12.0,60.0,1
Belgium,2,0,Northern Ireland,0,442.0,78.0,35.0,17.0,14.0,4.0,49.0,1
Haiti,0,0,United States,0,-617.0,-191.0,-30.0,-8.0,-16.0,-6.0,-48.0,2
Haiti,0,0,United States,0,-617.0,-191.0,-30.0,-8.0,-16.0,-6.0,-48.0,2
Saudi Arabia,2,0,Syria,0,539.0,123.0,16.0,3.0,11.0,2.0,39.0,1
Haiti,0,0,United States,0,-617.0,-191.0,-30.0,-8.0,-16.0,-6.0,-48.0,2
France,2,0,Republic of Ireland,0,537.0,119.0,53.0,32.0,16.0,5.0,67.0,1
Germany,2,0,Czechoslovakia,0,696.0,127.0,79.0,56.0,8.0,15.0,80.0,1
Italy,2,0,England,0,-619.0,-104.0,14.0,16.0,-2.0,0.0,13.0,1
Portugal,1,0,Denmark,0,-194.0,-102.0,10.0,5.0,4.0,1.0,9.0,1
Scotland,1,0,Wales,0,-267.0,-164.0,18.0,3.0,11.0,4.0,37.0,1
Malta,1,1,Tunisia,0,-506.0,-92.0,-15.0,-2.0,-9.0,-4.0,-25.0,2
Uruguay,0,0,Peru,0,571.0,125.0,38.0,19.0,10.0,9.0,41.0,2
Syria,2,1,Saudi Arabia,0,-539.0,-123.0,-16.0,-3.0,-11.0,-2.0,-39.0,1
Argentina,0,0,Russia,0,701.0,115.0,36.0,24.0,7.0,5.0,39.0,2
Brazil,2,0,Russia,0,679.0,67.0,64.0,54.0,2.0,8.0,51.0,1
El Salvador,1,1,Costa Rica,0,-478.0,-93.0,-12.0,-5.0,-2.0,-5.0,-6.0,2
Japan,1,2,South Korea,0,-207.0,18.0,-13.0,-1.0,-8.0,-4.0,-41.0,3
Costa Rica,0,0,Guatemala,0,482.0,118.0,18.0,5.0,8.0,5.0,28.0,2
Cyprus,1,2,Portugal,0,-520.0,-90.0,-30.0,-14.0,-10.0,-6.0,-35.0,3
Guatemala,1,1,Costa Rica,0,-482.0,-118.0,-18.0,-5.0,-8.0,-5.0,-28.0,2
Morocco,1,1,Tunisia,0,-48.0,-43.0,1.0,0.0,0.0,1.0,-3.0,2
Costa Rica,1,1,El Salvador,0,478.0,93.0,12.0,5.0,2.0,5.0,6.0,2
Thailand,2,1,South Korea,0,-748.0,-91.0,-34.0,-6.0,-19.0,-9.0,-70.0,1
South Korea,4,0,Singapore,0,783.0,103.0,34.0,6.0,19.0,9.0,70.0,1
Canada,3,0,United States,0,-282.0,-70.0,-30.0,-8.0,-16.0,-6.0,-57.0,1
South Korea,1,1,Malaysia,0,763.0,115.0,34.0,6.0,19.0,9.0,70.0,2
Portugal,2,1,Italy,0,259.0,92.0,-53.0,-31.0,-7.0,-15.0,-42.0,1
Uruguay,1,1,Ecuador,0,324.0,36.0,46.0,20.0,15.0,11.0,63.0,2
Saudi Arabia,0,3,Iran,0,129.0,87.0,1.0,1.0,2.0,-2.0,15.0,3
Paraguay,2,0,Ecuador,0,-152.0,-60.0,17.0,3.0,5.0,9.0,27.0,1
Tunisia,1,1,Morocco,0,48.0,43.0,-1.0,0.0,0.0,-1.0,3.0,2
Paraguay,1,1,Uruguay,0,-476.0,-96.0,-29.0,-17.0,-10.0,-2.0,-36.0,2
Colombia,0,1,Ecuador,0,-266.0,-136.0,12.0,5.0,5.0,2.0,19.0,3
Guinea,2,0,Ghana,0,-494.0,-102.0,-12.0,-4.0,-5.0,-3.0,-16.0,1
Venezuela,1,0,Ecuador,0,-375.0,-134.0,-10.0,-4.0,-5.0,-1.0,-11.0,1
Brazil,1,0,Bulgaria,0,694.0,39.0,83.0,70.0,3.0,10.0,52.0,1
Uruguay,2,1,Paraguay,0,476.0,96.0,29.0,17.0,10.0,2.0,36.0,1
Cameroon,2,2,Congo,0,482.0,98.0,23.0,4.0,12.0,7.0,43.0,2
Ecuador,4,1,Colombia,0,266.0,136.0,-12.0,-5.0,-5.0,-2.0,-19.0,1
Italy,2,1,Belgium,0,-397.0,-181.0,35.0,25.0,-2.0,12.0,5.0,1
Gambia,1,4,Denmark,0,-763.0,-241.0,-20.0,-9.0,-6.0,-5.0,-26.0,3
Uruguay,3,0,Chile,0,461.0,68.0,23.0,13.0,5.0,5.0,25.0,1
Mexico,5,1,Yugoslavia,0,703.0,158.0,20.0,0.0,14.0,6.0,52.0,1
France,2,0,Romania,0,611.0,153.0,45.0,26.0,11.0,8.0,45.0,1
Senegal,2,3,Denmark,0,-239.0,-110.0,-12.0,-6.0,-4.0,-2.0,-16.0,3
Gabon,0,1,Morocco,0,-481.0,-92.0,-16.0,-2.0,-9.0,-5.0,-22.0,3
Tunisia,2,0,Algeria,0,458.0,118.0,2.0,-1.0,2.0,1.0,6.0,1
Mexico,0,1,Yugoslavia,0,703.0,158.0,20.0,0.0,14.0,6.0,52.0,3
England,0,2,Netherlands,0,208.0,-21.0,19.0,2.0,8.0,9.0,16.0,3
Republic of Ireland,0,1,Spain,0,-396.0,-5.0,-50.0,-28.0,-15.0,-7.0,-62.0,3
Venezuela,1,1,Uruguay,0,-699.0,-170.0,-56.0,-24.0,-20.0,-12.0,-74.0,2
Australia,1,1,Israel,0,380.0,60.0,13.0,2.0,9.0,2.0,28.0,2
Ecuador,2,1,Paraguay,0,152.0,60.0,-17.0,-3.0,-5.0,-9.0,-27.0,1
Singapore,0,4,South Korea,0,-783.0,-103.0,-34.0,-6.0,-19.0,-9.0,-70.0,3
Australia,1,1,Israel,0,380.0,60.0,13.0,2.0,9.0,2.0,28.0,2
Bahrain,1,4,South Korea,0,-745.0,-116.0,-34.0,-6.0,-19.0,-9.0,-70.0,3
Bahrain,1,1,South Korea,0,-745.0,-116.0,-34.0,-6.0,-19.0,-9.0,-70.0,2
Colombia,0,0,Brazil,0,-637.0,-40.0,-87.0,-64.0,-8.0,-15.0,-75.0,2
Ecuador,1,1,Peru,0,247.0,89.0,-8.0,-1.0,-5.0,-2.0,-22.0,2
Mexico,1,1,Hungary,0,572.0,100.0,25.0,1.0,13.0,11.0,41.0,2
France,1,0,Germany,0,-67.0,47.0,-43.0,-33.0,-3.0,-7.0,-48.0,1
Argentina,5,1,Hungary,0,637.0,75.0,49.0,28.0,9.0,12.0,36.0,1
Bolivia,1,0,Uruguay,0,-670.0,-156.0,-50.0,-24.0,-15.0,-11.0,-54.0,1
Ecuador,0,1,Chile,0,137.0,32.0,-23.0,-7.0,-10.0,-6.0,-38.0,3
Israel,0,0,South Korea,0,-726.0,-92.0,-31.0,-6.0,-18.0,-7.0,-67.0,2
Algeria,1,1,Tunisia,0,-458.0,-118.0,-2.0,1.0,-2.0,-1.0,-6.0,2
Senegal,1,0,Guinea,0,444.0,102.0,8.0,3.0,2.0,3.0,10.0,1
Tunisia,0,1,Malta,0,506.0,92.0,15.0,2.0,9.0,4.0,25.0,3
Israel,2,0,Japan,0,-519.0,-110.0,-18.0,-5.0,-10.0,-3.0,-26.0,1
Qatar,1,0,Tunisia,0,-39.0,25.0,-15.0,-2.0,-9.0,-4.0,-25.0,1
Brazil,6,0,Colombia,0,637.0,40.0,87.0,64.0,8.0,15.0,75.0,1
Israel,2,0,Japan,0,-519.0,-110.0,-18.0,-5.0,-10.0,-3.0,-26.0,1
Peru,4,0,Ecuador,0,-247.0,-89.0,8.0,1.0,5.0,2.0,22.0,1
Cameroon,2,0,Congo,0,482.0,98.0,23.0,4.0,12.0,7.0,43.0,1
Senegal,2,1,Togo,0,469.0,104.0,5.0,3.0,-1.0,3.0,4.0,1
Egypt,2,2,Tunisia,0,-418.0,-99.0,-8.0,-2.0,-4.0,-2.0,-13.0,2
Australia,3,0,Taiwan,0,495.0,121.0,16.0,2.0,10.0,4.0,31.0,1
Paraguay,0,1,Brazil,0,-523.0,36.0,-82.0,-66.0,-8.0,-8.0,-67.0,3
Qatar,2,0,Bahrain,0,444.0,139.0,0.0,0.0,0.0,0.0,0.0,1
Iran,0,2,Hungary,0,211.0,-24.0,-17.0,-13.0,-5.0,1.0,-33.0,3
Qatar,0,2,Kuwait,0,410.0,128.0,-3.0,0.0,-2.0,-1.0,-6.0,3
Uruguay,2,0,Venezuela,0,699.0,170.0,56.0,24.0,20.0,12.0,74.0,1
Fiji,1,0,Australia,0,-510.0,-133.0,-16.0,-2.0,-10.0,-4.0,-31.0,1
Qatar,0,3,Bahrain,0,444.0,139.0,0.0,0.0,0.0,0.0,0.0,3
Brazil,1,1,Paraguay,0,523.0,-36.0,82.0,66.0,8.0,8.0,67.0,2
Chile,3,0,Ecuador,0,-137.0,-32.0,23.0,7.0,10.0,6.0,38.0,1
South Korea,3,1,Israel,0,726.0,92.0,31.0,6.0,18.0,7.0,67.0,1
Tunisia,0,3,Russia,0,376.0,96.0,-30.0,-17.0,-7.0,-6.0,-29.0,3
Qatar,1,4,Kuwait,0,410.0,128.0,-3.0,0.0,-2.0,-1.0,-6.0,3
Argentina,1,1,Iran,0,426.0,99.0,66.0,41.0,14.0,11.0,69.0,2
Syria,0,2,Morocco,0,-463.0,-73.0,-16.0,-2.0,-9.0,-5.0,-22.0,3
Togo,0,1,Senegal,0,-469.0,-104.0,-5.0,-3.0,1.0,-3.0,-4.0,3
Belgium,0,2,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,3
Japan,0,0,South Korea,0,-207.0,18.0,-13.0,-1.0,-8.0,-4.0,-41.0,2
Australia,3,1,New Zealand,0,401.0,62.0,10.0,2.0,7.0,1.0,17.0,1
Spain,1,1,Hungary,0,373.0,1.0,31.0,15.0,4.0,12.0,15.0,2
Uruguay,2,2,Bolivia,0,670.0,156.0,50.0,24.0,15.0,11.0,54.0,2
England,5,0,Luxembourg,0,818.0,45.0,69.0,29.0,19.0,21.0,64.0,1
Republic of Ireland,1,0,France,0,-537.0,-119.0,-53.0,-32.0,-16.0,-5.0,-67.0,1
New Zealand,1,1,Australia,0,-401.0,-62.0,-10.0,-2.0,-7.0,-1.0,-17.0,2
Portugal,1,0,Switzerland,0,-179.0,-167.0,-7.0,2.0,-7.0,-2.0,-29.0,1
Wales,3,0,Czechoslovakia,0,507.0,260.0,-25.0,-10.0,-13.0,-2.0,-41.0,1
South Korea,1,0,Japan,0,207.0,-18.0,13.0,1.0,8.0,4.0,41.0,1
Morocco,5,1,Gabon,0,481.0,92.0,16.0,2.0,9.0,5.0,22.0,1
Bulgaria,3,1,Denmark,0,-596.0,-168.0,6.0,-6.0,9.0,3.0,27.0,1
Hungary,2,1,Poland,0,-521.0,-140.0,-2.0,-1.0,1.0,-2.0,12.0,1
Romania,1,0,Spain,0,-470.0,-39.0,-42.0,-22.0,-10.0,-10.0,-40.0,1
Iran,2,0,Saudi Arabia,0,-129.0,-87.0,-1.0,-1.0,-2.0,2.0,-15.0,1
Switzerland,0,4,France,0,-12.0,106.0,-29.0,-22.0,-2.0,-5.0,-13.0,3
Republic of Ireland,0,0,Poland,0,-544.0,-144.0,-21.0,-14.0,-10.0,3.0,-35.0,2
Tunisia,3,2,Egypt,0,418.0,99.0,8.0,2.0,4.0,2.0,13.0,1
Germany,5,0,Northern Ireland,0,562.0,3.0,96.0,64.0,17.0,15.0,102.0,1
Yugoslavia,1,2,Germany,0,-712.0,-126.0,-72.0,-51.0,-9.0,-12.0,-79.0,3
Algeria,2,0,Senegal,0,-424.0,-108.0,5.0,0.0,5.0,0.0,9.0,1
Denmark,1,2,Poland,0,-4.0,16.0,-14.0,-7.0,-7.0,0.0,-19.0,3
Cyprus,1,3,Poland,0,-718.0,-176.0,-34.0,-16.0,-13.0,-5.0,-45.0,3
Mexico,1,1,Peru,0,575.0,66.0,39.0,11.0,17.0,11.0,65.0,2
Mexico,2,1,Peru,0,575.0,66.0,39.0,11.0,17.0,11.0,65.0,1
Switzerland,1,0,Czechoslovakia,0,617.0,280.0,7.0,1.0,3.0,3.0,19.0,1
Northern Ireland,1,2,England,0,-664.0,-1.0,-56.0,-26.0,-14.0,-16.0,-41.0,3
Senegal,3,2,Morocco,0,14.0,33.0,-8.0,1.0,-7.0,-2.0,-12.0,1
Wales,0,0,Scotland,0,267.0,164.0,-18.0,-3.0,-11.0,-4.0,-37.0,2
Argentina,3,1,Poland,0,116.0,-65.0,47.0,27.0,10.0,10.0,48.0,1
Togo,0,2,Ghana,0,-519.0,-104.0,-9.0,-4.0,-2.0,-3.0,-10.0,3
England,0,1,Wales,0,291.0,-135.0,64.0,28.0,18.0,18.0,60.0,3
Norway,0,2,Denmark,0,-533.0,-127.0,-12.0,-7.0,-3.0,-2.0,-18.0,3
Northern Ireland,1,1,Wales,0,-373.0,-136.0,8.0,2.0,4.0,2.0,19.0,2
England,1,2,Scotland,0,558.0,29.0,46.0,25.0,7.0,14.0,23.0,3
Congo,4,0,Cameroon,0,-482.0,-98.0,-23.0,-4.0,-12.0,-7.0,-43.0,1
Argentina,1,3,Germany,0,56.0,7.0,-28.0,-24.0,1.0,-5.0,-32.0,3
Guinea,1,0,Tunisia,0,-478.0,-112.0,-15.0,-2.0,-9.0,-4.0,-25.0,1
Mauritania,1,2,Senegal,0,-524.0,-128.0,-8.0,-3.0,-2.0,-3.0,-10.0,3
Brazil,0,0,England,0,-68.0,-39.0,40.0,44.0,-1.0,-3.0,41.0,2
Sweden,2,1,Switzerland,0,-424.0,-193.0,14.0,7.0,2.0,5.0,9.0,1
Uruguay,0,2,Germany,0,-13.0,91.0,-53.0,-43.0,-2.0,-8.0,-51.0,3
Peru,1,3,Poland,0,-524.0,-106.0,-16.0,-11.0,-3.0,-2.0,-12.0,3
Senegal,3,1,Nigeria,0,399.0,95.0,-13.0,-3.0,-10.0,0.0,-20.0,1
Argentina,1,1,England,0,-46.0,9.0,12.0,14.0,4.0,-6.0,29.0,2
Bolivia,1,2,Poland,0,-623.0,-137.0,-28.0,-16.0,-8.0,-4.0,-25.0,3
Brazil,1,1,Germany,0,34.0,-41.0,0.0,6.0,-4.0,-2.0,-20.0,2
Ghana,2,0,Togo,0,519.0,104.0,9.0,4.0,2.0,3.0,10.0,1
Mexico,2,2,Germany,0,-9.0,32.0,-52.0,-51.0,5.0,-6.0,-27.0,2
Denmark,2,1,Sweden,0,439.0,128.0,-31.0,-10.0,-13.0,-8.0,-47.0,1
South Korea,2,1,Japan,0,207.0,-18.0,13.0,1.0,8.0,4.0,41.0,1
Uruguay,0,0,England,0,-115.0,93.0,-13.0,-5.0,1.0,-9.0,10.0,2
Argentina,1,1,Scotland,0,512.0,38.0,58.0,39.0,11.0,8.0,52.0,2
Brazil,3,1,Poland,0,94.0,-113.0,75.0,57.0,5.0,13.0,60.0,1
Hong Kong,0,2,Iran,0,-426.0,-33.0,-15.0,-2.0,-9.0,-4.0,-24.0,3
Tunisia,3,1,Guinea,0,478.0,112.0,15.0,2.0,9.0,4.0,25.0,1
Finland,1,2,Denmark,0,-574.0,-123.0,-20.0,-9.0,-6.0,-5.0,-26.0,3
Brazil,2,0,Scotland,0,490.0,-10.0,86.0,69.0,6.0,11.0,64.0,1
Nigeria,3,0,Senegal,0,-399.0,-95.0,13.0,3.0,10.0,0.0,20.0,1
Argentina,0,0,France,0,123.0,-40.0,15.0,9.0,4.0,2.0,16.0,2
Brazil,0,0,Yugoslavia,0,746.0,85.0,72.0,57.0,5.0,10.0,59.0,2
Hong Kong,0,2,South Korea,0,-789.0,-115.0,-34.0,-6.0,-19.0,-9.0,-70.0,3
Brazil,2,2,France,0,101.0,-88.0,43.0,39.0,-1.0,5.0,28.0,2
Argentina,1,0,Yugoslavia,0,768.0,133.0,44.0,27.0,10.0,7.0,47.0,1
South Korea,0,0,Iran,0,363.0,82.0,19.0,4.0,10.0,5.0,46.0,2
Australia,3,0,Hong Kong,0,443.0,83.0,16.0,2.0,10.0,4.0,31.0,1
Peru,0,1,Brazil,0,-618.0,7.0,-91.0,-68.0,-8.0,-15.0,-72.0,3
Argentina,2,0,German DR,0,829.0,152.0,81.0,43.0,23.0,15.0,93.0,1
Brazil,8,0,Bolivia,0,717.0,24.0,103.0,73.0,13.0,17.0,85.0,1
South Korea,4,0,Libya,0,789.0,134.0,34.0,6.0,19.0,9.0,70.0,1
South Korea,4,1,Thailand,0,748.0,91.0,34.0,6.0,19.0,9.0,70.0,1
Myanmar,0,4,South Korea,0,-830.0,-154.0,-34.0,-6.0,-19.0,-9.0,-70.0,3
Hong Kong,1,0,Iran,0,-426.0,-33.0,-15.0,-2.0,-9.0,-4.0,-24.0,1
China PR,3,2,Morocco,0,-366.0,-31.0,-16.0,-2.0,-9.0,-5.0,-22.0,1
Malaysia,1,1,South Korea,0,-763.0,-115.0,-34.0,-6.0,-19.0,-9.0,-70.0,2
Iran,1,1,Morocco,0,-53.0,-37.0,-1.0,0.0,0.0,-1.0,2.0,2
Iraq,1,1,South Korea,0,-707.0,-101.0,-31.0,-6.0,-16.0,-9.0,-66.0,2
Iran,1,3,DR Congo,0,403.0,42.0,12.0,2.0,6.0,4.0,10.0,3
Iraq,0,1,South Korea,0,-707.0,-101.0,-31.0,-6.0,-16.0,-9.0,-66.0,3
Iran,0,0,Romania,0,308.0,14.0,-6.0,-6.0,1.0,-1.0,-8.0,2
Australia,0,1,Iran,0,17.0,50.0,1.0,0.0,1.0,0.0,7.0,3
Argentina,2,1,Paraguay,0,545.0,12.0,54.0,36.0,13.0,5.0,55.0,1
Austria,2,1,Poland,0,-564.0,-139.0,-5.0,-4.0,0.0,-1.0,2.0,1
Australia,2,1,South Korea,0,-346.0,-32.0,-18.0,-4.0,-9.0,-5.0,-39.0,1
Netherlands,4,1,Iceland,0,620.0,95.0,47.0,27.0,9.0,11.0,43.0,1
Paraguay,2,0,Argentina,0,-545.0,-12.0,-54.0,-36.0,-13.0,-5.0,-55.0,1
Belgium,4,0,Iceland,0,606.0,151.0,45.0,20.0,17.0,8.0,67.0,1
South Korea,5,1,Thailand,0,748.0,91.0,34.0,6.0,19.0,9.0,70.0,1
Nigeria,2,1,Ghana,0,-449.0,-95.0,9.0,2.0,7.0,0.0,14.0,1
South Korea,3,0,India,0,811.0,136.0,34.0,6.0,19.0,9.0,70.0,1
Tunisia,2,1,Malta,0,506.0,92.0,15.0,2.0,9.0,4.0,25.0,1
Wales,0,0,Kuwait,0,529.0,248.0,2.0,1.0,-1.0,2.0,-2.0,2
England,0,0,Switzerland,0,181.0,-155.0,32.0,17.0,2.0,13.0,0.0,2
Finland,0,1,Germany,0,-638.0,-35.0,-109.0,-67.0,-22.0,-20.0,-125.0,3
Russia,4,1,Poland,0,-585.0,-180.0,11.0,3.0,3.0,5.0,9.0,1
Trinidad and Tobago,1,1,Canada,0,-307.0,-90.0,0.0,0.0,-1.0,1.0,-1.0,2
South Korea,3,0,Malaysia,0,763.0,115.0,34.0,6.0,19.0,9.0,70.0,1
El Salvador,1,2,United States,0,-540.0,-130.0,-27.0,-8.0,-13.0,-6.0,-40.0,3
Guatemala,3,1,United States,0,-544.0,-155.0,-33.0,-8.0,-19.0,-6.0,-62.0,1
Kuwait,0,0,Wales,0,-529.0,-248.0,-2.0,-1.0,1.0,-2.0,2.0,2
