home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_lost,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_con,status
France,5,2,England,0,-169.0,49.0,-3.0,5.0,0.0,-8.0,13.0,1
Belgium,1,4,England,0,-222.0,77.0,-21.0,-9.0,0.0,-12.0,8.0,3
Germany,0,6,Austria,0,624.0,67.0,80.0,55.0,9.0,16.0,78.0,3
Switzerland,2,3,Scotland,0,377.0,184.0,14.0,8.0,5.0,1.0,23.0,3
Denmark,3,1,Norway,0,533.0,127.0,12.0,7.0,3.0,2.0,18.0,1
Portugal,3,2,Belgium,0,-138.0,-89.0,-18.0,-6.0,-9.0,-3.0,-37.0,1
Czechoslovakia,7,3,Switzerland,0,-617.0,-280.0,-7.0,-1.0,-3.0,-3.0,-19.0,1
Denmark,0,2,Netherlands,0,42.0,69.0,-30.0,-18.0,-5.0,-7.0,-22.0,3
Poland,0,4,Czechoslovakia,0,636.0,199.0,4.0,5.0,-1.0,0.0,0.0,3
Austria,2,0,Switzerland,0,-545.0,-220.0,-8.0,0.0,-4.0,-4.0,-17.0,1
Sweden,0,0,Germany,0,-503.0,-40.0,-58.0,-48.0,-3.0,-7.0,-52.0,2
Norway,2,2,Germany,0,-597.0,-39.0,-101.0,-65.0,-19.0,-17.0,-117.0,2
Sweden,3,1,Denmark,0,-439.0,-128.0,31.0,10.0,13.0,8.0,47.0,1
Argentina,1,1,Paraguay,0,545.0,12.0,54.0,36.0,13.0,5.0,55.0,2
Argentina,3,1,Paraguay,0,545.0,12.0,54.0,36.0,13.0,5.0,55.0,1
Poland,2,3,Romania,0,618.0,178.0,13.0,8.0,5.0,0.0,13.0,3
Brazil,2,0,Uruguay,0,47.0,-132.0,53.0,49.0,-2.0,6.0,31.0,1
Austria,5,0,Germany,0,-624.0,-67.0,-80.0,-55.0,-9.0,-16.0,-78.0,1
Germany,4,2,Denmark,0,64.0,-88.0,89.0,58.0,16.0,15.0,99.0,1
Belgium,2,1,Poland,0,-60.0,3.0,14.0,4.0,6.0,4.0,27.0,1
Denmark,2,3,Finland,0,574.0,123.0,20.0,9.0,6.0,5.0,26.0,3
Northern Ireland,2,6,England,0,-664.0,-1.0,-56.0,-26.0,-14.0,-16.0,-41.0,3
Poland,6,3,Yugoslavia,0,652.0,198.0,-3.0,0.0,0.0,-3.0,-1.0,1
Wales,2,3,Scotland,0,267.0,164.0,-18.0,-3.0,-11.0,-4.0,-37.0,3
England,3,1,Wales,0,291.0,-135.0,64.0,28.0,18.0,18.0,60.0,1
France,3,4,Netherlands,0,39.0,28.0,16.0,7.0,8.0,1.0,29.0,3
Switzerland,1,8,Austria,0,545.0,220.0,8.0,0.0,4.0,4.0,17.0,3
Northern Ireland,4,0,Wales,0,-373.0,-136.0,8.0,2.0,4.0,2.0,19.0,1
Belgium,2,1,Switzerland,0,-41.0,-78.0,11.0,8.0,2.0,1.0,8.0,1
England,7,1,Spain,0,310.0,65.0,6.0,-1.0,1.0,6.0,-8.0,1
Republic of Ireland,0,5,Spain,0,-396.0,-5.0,-50.0,-28.0,-15.0,-7.0,-62.0,3
Italy,3,0,Switzerland,0,-438.0,-259.0,46.0,33.0,0.0,13.0,13.0,1
Germany,2,0,Switzerland,0,79.0,-153.0,72.0,55.0,5.0,12.0,61.0,1
Belgium,1,4,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,3
Switzerland,3,3,France,0,-12.0,106.0,-29.0,-22.0,-2.0,-5.0,-13.0,2
England,3,0,Scotland,0,558.0,29.0,46.0,25.0,7.0,14.0,23.0,1
France,1,2,Italy,0,450.0,153.0,-17.0,-11.0,2.0,-8.0,0.0,3
Netherlands,2,1,Belgium,0,14.0,-56.0,2.0,7.0,-8.0,3.0,-24.0,1
Switzerland,5,1,Czechoslovakia,0,617.0,280.0,7.0,1.0,3.0,3.0,19.0,1
Spain,2,1,Yugoslavia,0,504.0,59.0,26.0,14.0,5.0,7.0,26.0,1
Belgium,5,2,France,0,-53.0,28.0,-18.0,-14.0,0.0,-4.0,-5.0,1
Portugal,3,2,Yugoslavia,0,454.0,112.0,-7.0,-2.0,-3.0,-2.0,-11.0,1
France,1,3,Scotland,0,389.0,78.0,43.0,30.0,7.0,6.0,36.0,3
Netherlands,0,2,Republic of Ireland,0,498.0,91.0,37.0,25.0,8.0,4.0,38.0,3
Argentina,2,0,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,1
Uruguay,1,0,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,1
Netherlands,1,2,Czechoslovakia,0,590.0,146.0,20.0,16.0,-3.0,7.0,3.0,3
Yugoslavia,0,3,Poland,0,-652.0,-198.0,3.0,0.0,0.0,3.0,1.0,3
Denmark,3,4,Belgium,0,56.0,13.0,-28.0,-11.0,-13.0,-4.0,-46.0,3
Yugoslavia,2,1,France,0,-645.0,-173.0,-29.0,-18.0,-6.0,-5.0,-31.0,1
Bulgaria,3,5,France,0,-593.0,-127.0,-40.0,-31.0,-4.0,-5.0,-24.0,3
Romania,6,3,France,0,-611.0,-153.0,-45.0,-26.0,-11.0,-8.0,-45.0,1
Sweden,3,1,Belgium,0,-383.0,-115.0,3.0,-1.0,0.0,4.0,1.0,1
Denmark,3,1,Sweden,0,439.0,128.0,-31.0,-10.0,-13.0,-8.0,-47.0,1
Switzerland,3,1,Hungary,0,502.0,221.0,5.0,-3.0,3.0,5.0,7.0,1
Finland,1,4,Germany,0,-638.0,-35.0,-109.0,-67.0,-22.0,-20.0,-125.0,3
Poland,2,0,Sweden,0,443.0,112.0,-17.0,-3.0,-6.0,-8.0,-28.0,1
Finland,4,2,Denmark,0,-574.0,-123.0,-20.0,-9.0,-6.0,-5.0,-26.0,1
Germany,4,3,Sweden,0,503.0,40.0,58.0,48.0,3.0,7.0,52.0,1
Norway,1,2,Denmark,0,-533.0,-127.0,-12.0,-7.0,-3.0,-2.0,-18.0,3
Poland,2,1,Latvia,0,755.0,206.0,34.0,16.0,13.0,5.0,45.0,1
Romania,0,5,Poland,0,-618.0,-178.0,-13.0,-8.0,-5.0,0.0,-13.0,3
England,1,0,Northern Ireland,0,664.0,1.0,56.0,26.0,14.0,16.0,41.0,1
Austria,3,1,Switzerland,0,-545.0,-220.0,-8.0,0.0,-4.0,-4.0,-17.0,1
Scotland,2,5,Wales,0,-267.0,-164.0,18.0,3.0,11.0,4.0,37.0,3
Hungary,2,1,Germany,0,-581.0,-68.0,-77.0,-52.0,-8.0,-17.0,-68.0,1
Switzerland,2,1,Sweden,0,424.0,193.0,-14.0,-7.0,-2.0,-5.0,-9.0,1
Wales,0,0,England,0,-291.0,135.0,-64.0,-28.0,-18.0,-18.0,-60.0,2
Germany,0,2,Netherlands,0,106.0,-19.0,59.0,40.0,11.0,8.0,77.0,3
Uruguay,1,2,Brazil,0,-47.0,132.0,-53.0,-49.0,2.0,-6.0,-31.0,3
England,4,3,Austria,0,726.0,65.0,40.0,17.0,6.0,17.0,17.0,1
Wales,4,1,Northern Ireland,0,373.0,136.0,-8.0,-2.0,-4.0,-2.0,-19.0,1
Belgium,1,6,Austria,0,504.0,142.0,19.0,8.0,6.0,5.0,25.0,3
Italy,3,1,Germany,0,-517.0,-106.0,-26.0,-22.0,-5.0,1.0,-48.0,1
Uruguay,2,1,Argentina,0,-69.0,84.0,-25.0,-19.0,-3.0,-3.0,-19.0,1
Netherlands,0,2,Switzerland,0,-27.0,-134.0,13.0,15.0,-6.0,4.0,-16.0,3
Portugal,1,0,Hungary,0,323.0,54.0,-2.0,-1.0,-4.0,3.0,-22.0,1
Argentina,4,1,Uruguay,0,69.0,-84.0,25.0,19.0,3.0,3.0,19.0,1
Belgium,2,3,Italy,0,397.0,181.0,-35.0,-25.0,2.0,-12.0,-5.0,3
France,0,4,Austria,0,557.0,114.0,37.0,22.0,6.0,9.0,30.0,3
Netherlands,1,2,Hungary,0,475.0,87.0,18.0,12.0,-3.0,9.0,-9.0,3
Switzerland,3,3,Belgium,0,41.0,78.0,-11.0,-8.0,-2.0,-1.0,-8.0,2
Germany,3,3,France,0,67.0,-47.0,43.0,33.0,3.0,7.0,48.0,2
France,3,0,Belgium,0,53.0,-28.0,18.0,14.0,0.0,4.0,5.0,1
Scotland,2,1,England,0,-558.0,-29.0,-46.0,-25.0,-7.0,-14.0,-23.0,1
Spain,3,0,Portugal,0,50.0,-53.0,33.0,16.0,8.0,9.0,37.0,1
Switzerland,0,3,Italy,0,438.0,259.0,-46.0,-33.0,0.0,-13.0,-13.0,3
Belgium,1,3,Netherlands,0,-14.0,56.0,-2.0,-7.0,8.0,-3.0,24.0,3
France,1,0,Spain,0,141.0,114.0,3.0,4.0,1.0,-2.0,5.0,1
Yugoslavia,1,1,Spain,0,-504.0,-59.0,-26.0,-14.0,-5.0,-7.0,-26.0,2
Netherlands,1,2,Belgium,0,14.0,-56.0,2.0,7.0,-8.0,3.0,-24.0,3
Switzerland,4,1,Yugoslavia,0,633.0,279.0,0.0,-4.0,4.0,0.0,18.0,1
Italy,1,1,England,0,-619.0,-104.0,14.0,16.0,-2.0,0.0,13.0,2
Switzerland,0,4,England,0,-181.0,155.0,-32.0,-17.0,-2.0,-13.0,0.0,3
Spain,13,0,Bulgaria,0,452.0,13.0,37.0,27.0,3.0,7.0,19.0,1
France,1,1,Wales,0,122.0,-86.0,61.0,33.0,18.0,10.0,73.0,2
Poland,0,1,Belgium,0,60.0,-3.0,-14.0,-4.0,-6.0,-4.0,-27.0,3
Australia,4,2,New Zealand,0,401.0,62.0,10.0,2.0,7.0,1.0,17.0,1
Czechoslovakia,4,0,France,0,-629.0,-174.0,-36.0,-23.0,-5.0,-8.0,-32.0,1
Austria,4,1,Belgium,0,-504.0,-142.0,-19.0,-8.0,-6.0,-5.0,-25.0,1
Denmark,2,2,Norway,0,533.0,127.0,12.0,7.0,3.0,2.0,18.0,2
Australia,6,4,New Zealand,0,401.0,62.0,10.0,2.0,7.0,1.0,17.0,1
Sweden,2,3,Denmark,0,-439.0,-128.0,31.0,10.0,13.0,8.0,47.0,3
