iter	RMSE
0	1899.970169
1	1852.296706
2	1808.240307
3	1764.095367
4	1722.707337
5	1684.814147
6	1646.054044
7	1608.887901
8	1573.89427
9	1537.275865
10	1509.021833
11	1479.874396
12	1445.880963
13	1414.68501
14	1387.348079
15	1359.454729
16	1334.562244
17	1306.763759
18	1280.745628
19	1258.267167
20	1235.976322
21	1216.54696
22	1195.464001
23	1174.295524
24	1151.710947
25	1133.96095
26	1114.438833
27	1096.151767
28	1079.377262
29	1063.115847
30	1045.345984
31	1031.093356
32	1015.689047
33	1001.777523
34	986.989099
35	979.840077
36	966.4415693
37	960.0401532
38	949.4429967
39	937.1847632
40	927.2038556
41	916.3290453
42	905.3313826
43	896.5447875
44	886.7918287
45	877.9612329
46	867.9262618
47	859.7391387
48	849.041315
49	841.0088964
50	833.3433548
51	825.8686114
52	820.6973616
53	814.9364601
54	808.3956126
55	801.9337849
56	795.4554151
57	788.8184976
58	783.6248155
59	778.3720201
60	771.8019201
61	766.4409608
62	760.5086213
63	754.8296564
64	747.7838983
65	743.8898109
66	740.2065092
67	733.9548914
68	728.3881701
69	724.0777995
70	719.6613897
71	715.4841381
72	710.9033078
73	705.7971972
74	700.9353908
75	697.5538509
76	694.2501901
77	690.207586
78	687.1522736
79	683.0830789
80	680.4907279
81	676.86777
82	674.0104436
83	670.5827495
84	668.260039
85	666.2940793
86	663.7482819
87	661.2920801
88	658.1424313
89	654.3403508
90	651.0517123
91	648.5694062
92	645.5886338
93	642.597872
94	641.4762264
95	638.726307
96	636.8717099
97	634.2345328
98	631.2584307
99	629.0619754
100	628.369976
101	624.8154146
102	623.2899528
103	622.0030753
104	619.6136643
105	617.6859074
106	615.7910208
107	613.6430877
108	612.1502526
109	610.5042676
110	608.7095636
111	607.4278738
112	606.4340783
113	603.4089667
114	601.6957159
115	601.2198159
116	599.7053293
117	598.6502928
118	596.3426479
119	595.07079
120	593.2355822
121	591.147019
122	590.7106477
123	589.5468733
124	587.3960194
125	586.1602885
126	584.5531035
127	583.2642858
128	581.7976319
129	580.3832511
130	579.6771782
131	578.0421494
132	576.3056207
133	574.849454
134	573.5598057
135	572.2885952
136	570.9986563
137	569.3222133
138	569.0423428
139	567.8261029
140	565.7448988
141	564.6515654
142	563.2155864
143	561.611664
144	560.1782484
145	559.3390992
146	558.5233836
147	557.5550929
148	556.8398535
149	556.1395947
150	554.0610181
151	551.8393999
152	550.2817907
153	549.3412926
154	548.3663064
155	548.2346273
156	547.2174879
157	545.3466156
158	544.6239523
159	543.7059403
160	542.3154852
161	540.9170216
162	540.4594946
163	538.3045723
164	537.7043939
165	536.8340124
166	535.8350827
167	534.3392662
168	533.2560307
169	532.2767415
170	531.8213043
171	531.189889
172	529.9317443
173	529.4752315
174	527.9753925
175	526.9184785
176	525.913092
177	524.6949866
178	522.8695055
179	522.2462407
180	521.6209125
181	520.2571176
182	519.0057175
183	518.4745281
184	517.1857016
185	516.7323905
186	515.722449
187	515.1899482
188	514.7829604
189	514.5449911
190	512.7673971
191	512.1850111
192	511.4073875
193	510.1679431
194	509.1583201
195	508.0861071
196	507.572568
197	506.7741811
198	506.2250798
199	505.1910693
200	504.8262946
201	504.1482177
202	503.3126527
203	502.0538503
204	501.5666347
205	500.4559827
206	499.9434839
