iter	Passed	Remaining
131	5381	35390
132	5419	35327
133	5450	35224
134	5490	35177
135	5529	35128
136	5568	35079
137	5608	35034
138	5626	34854
139	5663	34788
140	5701	34732
141	5736	34660
142	5769	34576
143	5805	34510
144	5845	34470
145	5895	34483
146	5941	34475
147	5988	34472
148	6017	34369
149	6057	34327
150	6103	34317
151	6149	34308
152	6196	34304
153	6247	34319
154	6297	34331
155	6319	34189
156	6367	34191
157	6415	34186
158	6460	34170
159	6532	34295
160	6602	34408
161	6654	34422
162	6694	34374
163	6735	34336
164	6768	34253
165	6808	34205
166	6852	34180
167	6890	34123
168	6935	34103
169	6979	34077
170	7020	34036
171	7069	34031
172	7112	33997
173	7153	33957
174	7194	33918
175	7237	33882
176	7277	33838
177	7323	33817
178	7361	33763
179	7400	33715
180	7444	33685
181	7486	33646
182	7535	33640
183	7581	33623
184	7631	33620
185	7674	33584
186	7718	33556
187	7761	33522
188	7804	33491
189	7846	33448
190	7889	33418
191	7931	33376
192	7979	33363
193	8025	33342
194	8070	33314
195	8113	33281
196	8160	33264
197	8205	33235
198	8250	33211
199	8297	33188
200	8341	33160
201	8388	33138
202	8435	33119
203	8479	33088
204	8525	33063
205	8571	33037
206	8617	33012
207	8666	32997
208	8714	32983
209	8763	32965
210	8812	32953
211	8854	32911
212	8905	32905
213	8954	32890
214	9006	32884
215	9056	32871
216	9107	32861
217	9164	32875
218	9210	32847
219	9267	32858
220	9322	32860
221	9377	32863
222	9431	32862
223	9496	32897
224	9560	32931
225	9612	32921
226	9669	32927
227	9721	32916
228	9784	32942
229	9836	32930
230	9895	32942
231	9948	32932
232	10005	32935
233	10060	32933
234	10105	32895
235	10161	32894
236	10208	32866
237	10278	32907
238	10349	32953
239	10405	32950
240	10456	32932
241	10512	32926
242	10557	32887
243	10596	32832
244	10634	32770
245	10673	32714
246	10715	32666
247	10755	32612
248	10806	32593
249	10852	32556
250	10908	32550
251	10957	32525
252	11004	32490
253	11056	32474
254	11116	32477
255	11175	32479
256	11233	32475
257	11293	32479
258	11354	32484
259	11413	32484
260	11467	32470
261	11533	32486
262	11616	32553
263	11665	32522
264	11719	32505
265	11775	32494
266	11835	32493
267	11917	32551
268	11981	32559
269	12042	32559
270	12096	32540
271	12174	32583
272	12250	32622
273	12310	32619
274	12384	32650
275	12435	32619
276	12481	32578
277	12542	32573
278	12621	32617
279	12673	32589
280	12719	32546
281	12767	32507
282	12812	32461
283	12861	32425
284	12908	32384
285	12953	32338
286	13001	32299
287	13044	32249
288	13087	32198
289	13135	32158
290	13182	32119
291	13229	32077
292	13278	32041
293	13331	32013
294	13380	31976
295	13433	31948
296	13486	31922
297	13537	31889
298	13594	31871
299	13638	31823
300	13692	31797
301	13776	31840
302	13832	31820
303	13889	31798
304	13940	31765
305	13999	31749
306	14058	31733
307	14115	31714
308	14176	31702
309	14234	31683
310	14300	31681
311	14359	31664
312	14412	31634
313	14467	31607
314	14512	31558
315	14557	31509
316	14598	31453
317	14647	31412
318	14692	31364
319	14735	31312
320	14780	31264
321	14826	31218
322	14877	31183
323	14924	31138
324	14968	31087
325	15012	31038
326	15064	31003
327	15123	30985
328	15191	30982
329	15245	30952
330	15299	30922
331	15339	30863
332	15380	30806
333	15419	30746
334	15457	30684
335	15494	30621
336	15534	30560
337	15570	30496
338	15604	30426
339	15642	30364
340	15681	30305
341	15730	30266
342	15772	30212
343	15815	30159
344	15863	30117
345	15903	30060
346	15945	30007
347	16005	29988
348	16054	29947
349	16096	29893
350	16135	29834
351	16181	29788
352	16227	29742
353	16269	29690
354	16317	29646
355	16363	29601
356	16413	29562
357	16461	29520
358	16501	29463
359	16548	29419
360	16593	29371
361	16635	29319
362	16679	29270
363	16722	29218
364	16775	29185
365	16823	29142
366	16866	29090
367	16913	29047
368	16963	29008
369	17010	28963
370	17056	28917
371	17096	28861
372	17136	28806
373	17178	28753
374	17220	28700
375	17275	28670
376	17325	28630
377	17374	28590
378	17425	28552
379	17481	28521
380	17525	28473
381	17571	28426
382	17627	28396
383	17664	28336
384	17708	28287
385	17753	28239
386	17803	28200
387	17845	28148
388	17886	28093
389	17930	28045
390	17970	27990
391	18013	27939
392	18056	27888
393	18101	27842
394	18145	27792
395	18184	27736
396	18229	27688
397	18269	27633
398	18313	27584
399	18354	27531
400	18404	27491
401	18448	27443
402	18504	27412
403	18555	27373
404	18598	27324
405	18645	27279
406	18687	27228
407	18732	27180
408	18776	27132
409	18818	27080
410	18857	27025
411	18902	26977
412	18945	26928
413	18990	26880
414	19038	26837
415	19083	26789
416	19124	26738
417	19172	26694
418	19211	26638
419	19255	26591
420	19299	26542
421	19347	26500
422	19390	26450
423	19437	26406
424	19485	26362
425	19541	26330
426	19584	26281
427	19621	26223
428	19667	26177
429	19716	26135
430	19765	26094
431	19817	26055
432	19859	26005
433	19896	25948
434	19933	25891
435	19969	25832
436	20002	25769
437	20039	25712
438	20075	25654
439	20113	25599
440	20154	25547
441	20194	25494
442	20241	25449
443	20287	25404
444	20329	25354
445	20365	25297
446	20404	25243
447	20446	25192
448	20487	25141
449	20534	25097
450	20599	25075
451	20647	25032
452	20695	24989
453	20745	24949
454	20790	24902
455	20834	24855
456	20879	24808
457	20924	24761
458	20963	24708
459	21011	24666
460	21062	24625
461	21108	24581
462	21159	24541
463	21210	24501
464	21260	24461
465	21310	24420
466	21366	24386
467	21421	24351
468	21476	24315
469	21523	24270
470	21562	24217
471	21602	24165
472	21645	24116
473	21687	24066
474	21727	24014
475	21764	23959
476	21799	23901
477	21833	23843
478	21869	23786
479	21906	23732
480	21949	23683
481	21987	23630
482	22028	23579
483	22068	23527
484	22106	23474
485	22141	23417
486	22177	23361
487	22214	23307
488	22250	23251
489	22286	23195
490	22321	23139
491	22356	23083
492	22394	23029
493	22440	22985
494	22480	22934
495	22520	22883
496	22555	22827
497	22588	22770
498	22629	22719
499	22669	22669
500	22709	22619
501	22752	22571
502	22793	22521
503	22840	22478
504	22893	22440
505	22941	22397
506	22986	22351
507	23031	22306
508	23073	22257
509	23112	22206
510	23149	22153
511	23186	22099
512	23226	22048
513	23264	21997
514	23302	21944
515	23338	21890
516	23380	21842
517	23419	21791
518	23469	21751
519	23514	21706
520	23566	21666
521	23616	21625
522	23664	21583
523	23714	21541
524	23767	21503
525	23827	21471
526	23879	21432
527	23925	21387
528	23962	21335
529	24002	21284
530	24042	21234
531	24082	21185
532	24124	21137
533	24167	21090
534	24208	21041
535	24249	20992
536	24292	20945
537	24329	20892
538	24368	20841
539	24411	20794
540	24453	20746
541	24495	20699
542	24539	20652
543	24586	20609
544	24629	20562
545	24669	20513
546	24712	20465
547	24759	20422
548	24808	20380
549	24858	20339
550	24905	20294
551	24948	20248
552	24989	20199
553	25035	20154
554	25074	20104
555	25116	20056
556	25161	20011
557	25205	19965
558	25250	19920
559	25291	19871
560	25331	19823
561	25374	19776
562	25416	19727
563	25458	19680
564	25500	19632
565	25543	19586
566	25582	19536
567	25622	19487
568	25663	19439
569	25703	19390
570	25744	19341
571	25781	19291
572	25818	19239
573	25857	19190
574	25897	19141
575	25940	19094
576	25981	19047
577	26019	18996
578	26059	18947
579	26105	18904
580	26143	18853
581	26183	18805
582	26224	18757
583	26270	18713
584	26314	18667
585	26371	18631
586	26430	18596
587	26474	18550
588	26511	18499
589	26549	18449
590	26588	18400
591	26627	18351
592	26667	18303
593	26708	18255
594	26748	18207
595	26795	18163
596	26838	18116
597	26881	18070
598	26922	18022
599	26964	17976
600	27008	17930
601	27050	17883
602	27091	17836
603	27132	17788
604	27176	17743
605	27218	17696
606	27260	17650
607	27300	17601
608	27343	17555
609	27384	17507
610	27426	17461
611	27470	17415
612	27509	17367
613	27546	17317
614	27587	17270
615	27626	17221
616	27661	17170
617	27697	17120
618	27736	17071
619	27779	17025
620	27826	16982
621	27872	16938
622	27917	16893
623	27960	16847
624	28006	16803
625	28049	16758
626	28090	16711
627	28134	16665
628	28176	16618
629	28216	16571
630	28256	16523
631	28298	16477
632	28337	16429
633	28376	16381
634	28424	16338
635	28466	16292
636	28506	16244
637	28546	16197
638	28586	16149
639	28627	16102
640	28666	16055
641	28708	16008
642	28751	15963
643	28794	15917
644	28825	15865
645	28870	15820
646	28918	15777
647	28965	15734
648	28998	15683
649	29043	15638
650	29088	15594
651	29132	15549
652	29174	15503
653	29223	15460
654	29269	15416
655	29314	15372
656	29362	15329
657	29408	15285
658	29451	15239
659	29493	15193
660	29538	15149
661	29582	15103
662	29620	15055
663	29655	15006
664	29689	14956
665	29728	14909
666	29769	14862
667	29808	14815
668	29852	14770
669	29893	14723
670	29933	14676
671	29974	14630
672	30013	14583
673	30058	14538
674	30097	14491
675	30139	14445
676	30179	14399
677	30221	14352
678	30265	14308
679	30305	14261
680	30344	14214
681	30385	14168
682	30426	14121
683	30468	14076
684	30509	14029
685	30546	13982
686	30587	13935
687	30626	13888
688	30681	13848
689	30737	13809
690	30783	13765
691	30825	13720
692	30867	13674
693	30911	13629
694	30953	13583
695	31000	13540
696	31042	13494
697	31079	13446
698	31122	13401
699	31162	13355
700	31203	13309
701	31244	13263
702	31285	13217
703	31326	13171
704	31370	13126
705	31418	13083
706	31463	13039
707	31507	12994
708	31551	12950
709	31597	12906
710	31641	12861
711	31685	12816
712	31729	12771
713	31769	12725
714	31808	12678
715	31847	12632
716	31884	12584
717	31921	12537
718	31953	12488
719	31988	12439
720	32027	12393
721	32064	12346
722	32103	12299
723	32144	12254
724	32180	12206
725	32216	12158
726	32252	12111
727	32289	12064
728	32330	12018
729	32370	11972
730	32409	11926
731	32450	11880
732	32491	11835
733	32531	11789
734	32570	11743
735	32610	11697
736	32648	11650
737	32685	11603
738	32727	11558
739	32764	11511
740	32804	11466
741	32843	11420
742	32882	11373
743	32918	11326
744	32960	11281
745	32998	11235
746	33041	11190
747	33082	11145
748	33122	11099
749	33162	11054
750	33200	11007
751	33243	10963
752	33284	10918
753	33323	10872
754	33362	10826
755	33403	10781
756	33440	10734
757	33477	10687
758	33510	10640
759	33544	10592
760	33581	10546
761	33617	10499
762	33653	10453
763	33696	10408
764	33737	10363
765	33779	10318
766	33822	10274
767	33863	10229
768	33902	10184
769	33940	10137
770	33981	10093
771	34018	10046
772	34053	10000
773	34089	9953
774	34124	9907
775	34160	9860
776	34198	9815
777	34239	9770
778	34280	9725
779	34315	9678
780	34351	9632
781	34389	9586
782	34433	9542
783	34473	9497
784	34512	9452
785	34552	9407
786	34591	9362
787	34633	9317
788	34673	9272
789	34718	9228
790	34759	9184
791	34801	9139
792	34843	9095
793	34884	9050
794	34925	9005
795	34968	8961
796	35007	8916
797	35046	8871
798	35086	8826
799	35127	8781
800	35171	8738
801	35213	8693
802	35253	8648
803	35290	8603
804	35332	8558
805	35375	8514
806	35412	8469
807	35447	8423
808	35483	8377
809	35520	8331
810	35555	8286
811	35596	8241
812	35632	8196
813	35675	8151
814	35718	8107
815	35758	8063
816	35801	8019
817	35842	7974
818	35881	7929
819	35921	7885
820	35961	7840
821	35999	7795
822	36043	7751
823	36084	7707
824	36128	7663
825	36163	7618
826	36199	7572
827	36241	7528
828	36278	7483
829	36322	7439
830	36358	7394
831	36397	7349
832	36433	7304
833	36468	7258
834	36502	7213
835	36538	7167
836	36571	7121
837	36609	7077
838	36652	7033
839	36696	6989
840	36742	6946
841	36779	6901
842	36819	6857
843	36866	6814
844	36907	6769
845	36943	6724
846	36978	6679
847	37011	6634
848	37048	6589
849	37087	6544
850	37126	6500
851	37165	6455
852	37207	6412
853	37248	6368
854	37290	6324
855	37330	6279
856	37369	6235
857	37409	6191
858	37448	6146
859	37487	6102
860	37527	6058
861	37565	6013
862	37606	5969
863	37648	5926
864	37688	5882
865	37741	5839
866	37781	5795
867	37821	5751
868	37860	5707
869	37902	5663
870	37943	5619
871	37984	5575
872	38025	5531
873	38062	5487
874	38103	5443
875	38145	5399
876	38186	5355
877	38226	5311
878	38263	5267
879	38308	5223
880	38353	5180
881	38395	5136
882	38437	5093
883	38478	5049
884	38521	5005
885	38561	4961
886	38599	4917
887	38643	4873
888	38686	4830
889	38725	4786
890	38769	4742
891	38813	4699
892	38854	4655
893	38895	4611
894	38936	4567
895	38978	4524
896	39021	4480
897	39065	4437
898	39104	4393
899	39147	4349
900	39191	4306
901	39233	4262
902	39278	4219
903	39325	4176
904	39364	4132
905	39403	4088
906	39444	4044
907	39487	4000
908	39532	3957
909	39571	3913
910	39616	3870
911	39657	3826
912	39700	3783
913	39743	3739
914	39780	3695
915	39822	3651
916	39861	3607
917	39902	3564
918	39942	3520
919	39984	3476
920	40034	3434
921	40071	3389
922	40105	3345
923	40139	3301
924	40177	3257
925	40218	3214
926	40259	3170
927	40301	3126
928	40343	3083
929	40384	3039
930	40427	2996
931	40470	2952
932	40510	2909
933	40549	2865
934	40588	2821
935	40626	2777
936	40667	2734
937	40703	2690
938	40744	2646
939	40786	2603
940	40826	2559
941	40875	2516
942	40918	2473
943	40957	2429
944	40996	2386
945	41038	2342
946	41078	2298
947	41118	2255
948	41159	2211
949	41200	2168
950	41239	2124
951	41276	2081
952	41316	2037
953	41355	1994
954	41395	1950
955	41432	1906
956	41477	1863
957	41516	1820
958	41554	1776
959	41595	1733
960	41639	1689
961	41676	1646
962	41720	1602
963	41759	1559
964	41799	1516
965	41838	1472
966	41877	1429
967	41922	1385
968	41963	1342
969	42004	1299
970	42048	1255
971	42090	1212
972	42129	1169
973	42172	1125
974	42227	1082
975	42267	1039
976	42309	996
977	42352	952
978	42393	909
979	42431	865
980	42457	822
981	42504	779
982	42545	735
983	42588	692
984	42627	649
985	42665	605
986	42702	562
987	42738	519
988	42772	475
989	42810	432
990	42849	389
991	42890	345
992	42938	302
993	43011	259
994	43067	216
995	43110	173
996	43149	129
997	43189	86
998	43233	43
999	43278	0
